"title_id","author_id","title","volumes","publisher_location","publisher_name","publication_year"
2978,37,"Lady Audley's Secret",3,"London","Tinsley Brothers",1862
2979,43,"Our Own Story: or, The History of Magdalene and Basil St. Pierre",3,"London","Hurst and Blackett",1856
2980,49,"The Birthright: A Novel",3,"London","Bentley",1851
2981,49,"The Maiden's Tower: A Novel",3,"London","Bentley",1853
2982,49,"Woman's Life: or, The Trials of Caprice",3,"London","Bentley",1852
2983,49,"Gustavus Lindorm: A Novel",3,"London","T. C. Newby",1854
2984,49,"The Events of a Year: A Novel",3,"London","T. C. Newby",1853
2985,49,"The Professor: A Novel",3,"London","T. C. Newby",1854
2986,52,"A Good Match, The Heiress of Drosberg, and The Cathedral Chorister",3,"London","Bentley",1840
2987,52,"Life and its Realities",3,"London","Hurst and Blackett",1857
2988,52,"The Reigning Beauty",3,"London","Hurst and Blackett",1858
2989,52,"Allanston: or, The Infidel",3,"London","T. C. Newby",1844
2990,56,"Ailieford: A Family History",3,"London","Hurst and Blackett",1853
2991,56,"The Days of my Life: An Autobiography",3,"London","Hurst and Blackett",1857
2992,56,"Memoirs and Resolutions of Adam Graeme, of Mossgray",3,"London","Henry Colburn",1852
2993,65,"Antonina: or, The Fall of Rome. A Romance of the Fifth Century",3,"London","Bentley",1850
2994,65,"Basil: A Story of Modern Life",3,"London","Bentley",1852
2995,65,"Hide and Seek: A Novel",3,"London","Bentley",1854
2996,65,"The Queen of Hearts",3,"London","Hurst and Blackett",1859
2997,65,"The Woman in White",3,"London","Sampson Low",1860
2998,68,"Charley Nugent: or, Passages in the Life of a Sub",3,"London","Saunders and Otley",1860
2999,70,"Paul Foster's Daughter",3,"London","Hurst and Blackett",1861
