script_id,imdb_character_name,words,gender,age,total_dialogue,imdb_id,title,year,gross (inflation-adjusted),link,proportion_of_dialogue
650,mary,289,f,,5842,tt0083530,Airplane II: The Sequel,1982,,film_20100519/all_imsdb_05_19_10/Airplane-2-The-Sequel.html,0.04946935980828483
650,stella,363,f,,5842,tt0083530,Airplane II: The Sequel,1982,,film_20100519/all_imsdb_05_19_10/Airplane-2-The-Sequel.html,0.062136254707292025
650,testa,122,f,25.0,5842,tt0083530,Airplane II: The Sequel,1982,,film_20100519/all_imsdb_05_19_10/Airplane-2-The-Sequel.html,0.020883259157822662
652,cassandra,220,f,31.0,6237,tt0094631,Alien Nation,1988,53.0,film_20100519/all_imsdb_05_19_10/Alien-Nation.html,0.03527336860670194
652,computer operat,129,f,,6237,tt0094631,Alien Nation,1988,53.0,film_20100519/all_imsdb_05_19_10/Alien-Nation.html,0.02068302068302068
653,belinda ali,566,f,27.0,9001,tt0248667,Ali,2001,89.0,film_20100519/all_imsdb_05_19_10/Ali.html,0.06288190201088768
653,sonji roi,291,f,30.0,9001,tt0248667,Ali,2001,89.0,film_20100519/all_imsdb_05_19_10/Ali.html,0.032329741139873344
664,constanze mozar,1406,f,22.0,12288,tt0086879,Amadeus,1984,,film_20100519/all_imsdb_05_19_10/Amadeus.html,0.11442057291666667
664,frau schlumberg,107,f,,12288,tt0086879,Amadeus,1984,,film_20100519/all_imsdb_05_19_10/Amadeus.html,0.008707682291666666
664,frau weber,175,f,,12288,tt0086879,Amadeus,1984,,film_20100519/all_imsdb_05_19_10/Amadeus.html,0.014241536458333334
664,katerina cavali,271,f,31.0,12288,tt0086879,Amadeus,1984,,film_20100519/all_imsdb_05_19_10/Amadeus.html,0.022054036458333332
664,lorl,307,f,18.0,12288,tt0086879,Amadeus,1984,,film_20100519/all_imsdb_05_19_10/Amadeus.html,0.024983723958333332
665,ana,220,f,,9039,tt0765429,American Gangster,2007,164.0,film_20100519/all_imsdb_05_19_10/American-Gangster.html,0.024338975550392744
665,jackie,132,f,,9039,tt0765429,American Gangster,2007,164.0,film_20100519/all_imsdb_05_19_10/American-Gangster.html,0.014603385330235646
665,laurie roberts,190,f,36.0,9039,tt0765429,American Gangster,2007,164.0,film_20100519/all_imsdb_05_19_10/American-Gangster.html,0.02102002433897555
665,mama lucas,173,f,85.0,9039,tt0765429,American Gangster,2007,164.0,film_20100519/all_imsdb_05_19_10/American-Gangster.html,0.019139285319172476
665,sheila,224,f,,9039,tt0765429,American Gangster,2007,164.0,film_20100519/all_imsdb_05_19_10/American-Gangster.html,0.0247815023785817
666,budda,226,f,22.0,9874,tt0069704,American Graffiti,1973,565.0,film_20100519/all_imsdb_05_19_10/American-Graffiti.html,0.02288839376139356
666,carol,729,f,14.0,9874,tt0069704,American Graffiti,1973,565.0,film_20100519/all_imsdb_05_19_10/American-Graffiti.html,0.07383026129228276
666,debbie,735,f,26.0,9874,tt0069704,American Graffiti,1973,565.0,film_20100519/all_imsdb_05_19_10/American-Graffiti.html,0.07443791776382419
666,girl,109,f,,9874,tt0069704,American Graffiti,1973,565.0,film_20100519/all_imsdb_05_19_10/American-Graffiti.html,0.011039092566335831
666,laurie,642,f,26.0,9874,tt0069704,American Graffiti,1973,565.0,film_20100519/all_imsdb_05_19_10/American-Graffiti.html,0.06501924245493214
666,wendy,178,f,,9874,tt0069704,American Graffiti,1973,565.0,film_20100519/all_imsdb_05_19_10/American-Graffiti.html,0.018027141989062183
674,nurse alex pric,1024,f,29.0,6316,tt0082010,An American Werewolf in London,1981,,film_20100519/all_imsdb_05_19_10/American-Werewolf-in-London.html,0.16212792906903103
674,nurse susan gal,126,f,,6316,tt0082010,An American Werewolf in London,1981,,film_20100519/all_imsdb_05_19_10/American-Werewolf-in-London.html,0.019949335022165927
674,woman in zoo,148,f,59.0,6316,tt0082010,An American Werewolf in London,1981,,film_20100519/all_imsdb_05_19_10/American-Werewolf-in-London.html,0.023432552248258392
676,anastasia,1197,f,36.0,5151,tt0118617,Anastasia,1997,110.0,film_20100519/all_imsdb_05_19_10/Anastasia.html,0.23238206173558532
676,phlegmenkoff,105,f,50.0,5151,tt0118617,Anastasia,1997,110.0,film_20100519/all_imsdb_05_19_10/Anastasia.html,0.0203843913803145
676,sophie,242,f,49.0,5151,tt0118617,Anastasia,1997,110.0,film_20100519/all_imsdb_05_19_10/Anastasia.html,0.046981168705105804
676,tatiana,604,f,,5151,tt0118617,Anastasia,1997,110.0,film_20100519/all_imsdb_05_19_10/Anastasia.html,0.11725878470199962
678,laura sobel,759,f,39.0,12842,tt0289848,Analyze That,2002,48.0,film_20100519/all_imsdb_05_19_10/Analyze-That.html,0.05910294346674973
682,allison,141,f,25.0,13136,tt0075686,Annie Hall,1977,152.0,film_20100519/all_imsdb_05_19_10/Annie-Hall.html,0.010733861144945189
682,annie hall,3719,f,31.0,13136,tt0075686,Annie Hall,1977,152.0,film_20100519/all_imsdb_05_19_10/Annie-Hall.html,0.2831151035322777
682,mom hall,110,f,53.0,13136,tt0075686,Annie Hall,1977,152.0,film_20100519/all_imsdb_05_19_10/Annie-Hall.html,0.008373934226552984
682,robin,172,f,34.0,13136,tt0075686,Annie Hall,1977,152.0,film_20100519/all_imsdb_05_19_10/Annie-Hall.html,0.013093788063337393
697,agnieska,263,f,41.0,10118,tt0118647,The Assignment,1997,1.0,"film_20100519/all_imsdb_05_19_10/Assignment,-The.html",0.025993279304210318
697,carla,564,f,32.0,10118,tt0118647,The Assignment,1997,1.0,"film_20100519/all_imsdb_05_19_10/Assignment,-The.html",0.055742241549713384
697,maura ramirez,314,f,,10118,tt0118647,The Assignment,1997,1.0,"film_20100519/all_imsdb_05_19_10/Assignment,-The.html",0.031033801146471633
698,alotta fagina,170,f,33.0,5493,tt0118655,Austin Powers: International Man of Mystery,1997,102.0,film_20100519/all_imsdb_05_19_10/Austin-Powers---International-Man-of-Mystery.html,0.030948479883488075
698,frau farbissina,223,f,44.0,5493,tt0118655,Austin Powers: International Man of Mystery,1997,102.0,film_20100519/all_imsdb_05_19_10/Austin-Powers---International-Man-of-Mystery.html,0.04059712361186965
698,mrs. kensington,211,f,41.0,5493,tt0118655,Austin Powers: International Man of Mystery,1997,102.0,film_20100519/all_imsdb_05_19_10/Austin-Powers---International-Man-of-Mystery.html,0.03841252503185873
698,therapist,118,f,41.0,5493,tt0118655,Austin Powers: International Man of Mystery,1997,102.0,film_20100519/all_imsdb_05_19_10/Austin-Powers---International-Man-of-Mystery.html,0.021481886036774075
698,vanessa kensing,992,f,32.0,5493,tt0118655,Austin Powers: International Man of Mystery,1997,102.0,film_20100519/all_imsdb_05_19_10/Austin-Powers---International-Man-of-Mystery.html,0.1805934826142363
699,felicity shagwe,940,f,29.0,4434,tt0145660,Austin Powers: The Spy Who Shagged Me,1999,351.0,film_20100519/all_imsdb_05_19_10/Austin-Powers---The-Spy-Who-Shagged-Me.html,0.2119981957600361
701,anna,496,f,27.0,8783,tt0053619,L'Avventura,1960,,"film_20100519/all_imsdb_05_19_10/Avventura,-L'-(The-Adventure).html",0.05647273141295685
701,claudia,1721,f,29.0,8783,tt0053619,L'Avventura,1960,,"film_20100519/all_imsdb_05_19_10/Avventura,-L'-(The-Adventure).html",0.19594671524536036
701,girl,128,f,,8783,tt0053619,L'Avventura,1960,,"film_20100519/all_imsdb_05_19_10/Avventura,-L'-(The-Adventure).html",0.014573608106569508
701,giulia,467,f,33.0,8783,tt0053619,L'Avventura,1960,,"film_20100519/all_imsdb_05_19_10/Avventura,-L'-(The-Adventure).html",0.053170898326312194
701,midwife,142,f,,8783,tt0053619,L'Avventura,1960,,"film_20100519/all_imsdb_05_19_10/Avventura,-L'-(The-Adventure).html",0.01616759649322555
701,patrizia,756,f,32.0,8783,tt0053619,L'Avventura,1960,,"film_20100519/all_imsdb_05_19_10/Avventura,-L'-(The-Adventure).html",0.08607537287942617
701,the princess,195,f,,8783,tt0053619,L'Avventura,1960,,"film_20100519/all_imsdb_05_19_10/Avventura,-L'-(The-Adventure).html",0.022201981099851987
